municipio,partido,votos,porcentaje
CORONEL PRINGLES,UNION Y LIBERTAD,111.0,0.97
CORONEL PRINGLES,PARTIDO TIEMPO DE TODOS,56.0,0.49
CORONEL PRINGLES,POTENCIA,56.0,0.49
CORONEL PRINGLES,VALORES REPUBLICANOS,49.0,0.43
CORONEL PRINGLES,MOVIMIENTO AVANZADA SOCIALISTA,40.0,0.35
CORONEL PRINGLES,FRENTE PATRIOTA FEDERAL,37.0,0.32
CORONEL PRINGLES,POLITICA OBRERA,37.0,0.32
CORONEL PRINGLES,CONSTRUYENDO PORVENIR,30.0,0.26
CORONEL PRINGLES,PARTIDO LIBERTARIO,10.0,0.08
CORONEL PRINGLES,UNION LIBERAL,4.0,0.03
CORONEL PRINGLES,ES CON VOS ES CON NOSOTROS,0.0,0.0
CORONEL SUAREZ,LA LIBERTAD AVANZA,6119.0,45.72
CORONEL SUAREZ,FUERZA PATRIA,3907.0,29.19
CORONEL SUAREZ,UNION Y LIBERTAD,711.0,5.31
CORONEL SUAREZ,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,674.0,5.03
CORONEL SUAREZ,PARTIDO LIBERTARIO,533.0,3.98
CORONEL SUAREZ,SOMOS BUENOS AIRES,436.0,3.25
CORONEL SUAREZ,UNION LIBERAL,308.0,2.3
CORONEL SUAREZ,POTENCIA,301.0,2.24
CORONEL SUAREZ,VALORES REPUBLICANOS,96.0,0.71
CORONEL SUAREZ,MOVIMIENTO AVANZADA SOCIALISTA,75.0,0.56
CORONEL SUAREZ,PARTIDO TIEMPO DE TODOS,66.0,0.49
CORONEL SUAREZ,POLITICA OBRERA,59.0,0.44
CORONEL SUAREZ,FRENTE PATRIOTA FEDERAL,48.0,0.35
CORONEL SUAREZ,CONSTRUYENDO PORVENIR,37.0,0.27
CORONEL SUAREZ,ES CON VOS ES CON NOSOTROS,12.0,0.08
DAIREAUX,FUERZA PATRIA,4076.0,46.26
DAIREAUX,LA LIBERTAD AVANZA,2716.0,30.82
DAIREAUX,SOMOS BUENOS AIRES,1200.0,13.62
DAIREAUX,POTENCIA,621.0,7.04
DAIREAUX,UNION Y LIBERTAD,71.0,0.8
DAIREAUX,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,40.0,0.45
DAIREAUX,VALORES REPUBLICANOS,23.0,0.26
DAIREAUX,CONSTRUYENDO PORVENIR,22.0,0.24
DAIREAUX,PARTIDO TIEMPO DE TODOS,18.0,0.2
DAIREAUX,FRENTE PATRIOTA FEDERAL,10.0,0.11
